relative_path	role	required_by	distribution
PF/UGE_atlas.h5ad	PF UGE atlas with annotations, PCA, and UMAP	01,02	PF_atlas_and_markers_v1.0.0.zip
PF/obs_concat_atlas.csv	Cell-to-sample and study metadata	01	PF_atlas_and_markers_v1.0.0.zip
PF/spatial_annotation/Reference_data/atlas_Normal.h5ad	Normal spatial-annotation reference	03,mapper	PF_spatial_annotation_v1.0.0.zip
PF/spatial_annotation/Reference_data/atlas_Disease.h5ad	PF spatial-annotation reference	03,mapper	PF_spatial_annotation_v1.0.0.zip
PF/spatial_annotation/fitted_reference_nn_normal/atlas_pcs.npy	Normal-reference PCA coordinates	mapper	PF_spatial_annotation_v1.0.0.zip
PF/spatial_annotation/fitted_reference_nn_normal/pcs.npy	Normal-reference PCA loadings	mapper	PF_spatial_annotation_v1.0.0.zip
PF/spatial_annotation/fitted_reference_nn_normal/neigh_dist_atlas.npy	Normal-reference neighbor distances	mapper	PF_spatial_annotation_v1.0.0.zip
PF/spatial_annotation/fitted_reference_nn_normal/neigh_ind_atlas.npy	Normal-reference neighbor indices	mapper	PF_spatial_annotation_v1.0.0.zip
PF/spatial_annotation/fitted_reference_nn_normal/knnpickle_file	Serialized normal-reference nearest-neighbor model	mapper	PF_spatial_annotation_v1.0.0.zip
PF/spatial_annotation/fitted_reference_nn_disease/atlas_pcs.npy	PF-reference PCA coordinates	mapper	PF_spatial_annotation_v1.0.0.zip
PF/spatial_annotation/fitted_reference_nn_disease/pcs.npy	PF-reference PCA loadings	mapper	PF_spatial_annotation_v1.0.0.zip
PF/spatial_annotation/fitted_reference_nn_disease/neigh_dist_atlas.npy	PF-reference neighbor distances	mapper	PF_spatial_annotation_v1.0.0.zip
PF/spatial_annotation/fitted_reference_nn_disease/neigh_ind_atlas.npy	PF-reference neighbor indices	mapper	PF_spatial_annotation_v1.0.0.zip
PF/spatial_annotation/fitted_reference_nn_disease/knnpickle_file	Serialized PF-reference nearest-neighbor model	mapper	PF_spatial_annotation_v1.0.0.zip
PF/spatial_annotation/query_UGE/adata_inte_VUHD116A.h5ad	Normal Xenium UGE query	03,mapper	PF_spatial_annotation_v1.0.0.zip
PF/spatial_annotation/query_UGE/adata_inte_VUILD107MA.h5ad	PF Xenium UGE query	03,mapper	PF_spatial_annotation_v1.0.0.zip
PF/spatial_annotation/query_UGE/adata_inte_VUILD106MA.h5ad	PF Xenium UGE query	03,mapper	PF_spatial_annotation_v1.0.0.zip
PF/spatial_annotation/query_raw/VUHD116A_raw_log.h5ad	Measured normal Xenium expression and coordinates	03	PF_spatial_annotation_v1.0.0.zip
PF/spatial_annotation/query_raw/VUILD107MA_raw_log.h5ad	Measured PF Xenium expression and coordinates	03	PF_spatial_annotation_v1.0.0.zip
PF/spatial_annotation/query_raw/VUILD106MA_raw_log.h5ad	Measured PF Xenium expression and coordinates	03	PF_spatial_annotation_v1.0.0.zip
PF/sp_map_to_sc_Epi/UGE_atlas_sub.h5ad	Epithelial UGE atlas and neighbor graph	04,mapper	PF_epithelial_trajectory_v1.0.0.zip
PF/sp_map_to_sc_Epi/UGE_sp_sub.h5ad	PF spatial epithelial UGE query	04,mapper	PF_epithelial_trajectory_v1.0.0.zip
PF/selected_index/diffmap_index_all.npy	Cells used to estimate the epithelial diffusion map	04	PF_epithelial_trajectory_v1.0.0.zip
PF/selected_index/diffmap_index.npy	Cells displayed in the epithelial trajectory	04	PF_epithelial_trajectory_v1.0.0.zip
PF/selected_index/diffmap_index_AT1_to_AB.npy	Curated AT1-to-Aberrant Basaloid path	04	PF_epithelial_trajectory_v1.0.0.zip
PF/sp_map_to_sc_Epi/histology/GSM7990548_VUILD106MA_registered_HE.tif	Registered H&E image	05	PF_histology_v1.0.0.zip
PF/sp_map_to_sc_Epi/histology/Xenium_sf.npy	Xenium-coordinate to image-pixel scale factor	05	PF_histology_v1.0.0.zip
PF/spatial_annotation/example_rerun_results/ct_anno_release_v1/VUHD116A_Normal/query_to_atlas_mapping.h5ad	Precomputed normal spatial mapping	03	PF_precomputed_mappings_v1.0.0.zip or generated by mapper
PF/spatial_annotation/example_rerun_results/ct_anno_release_v1/VUILD107MA_Disease/query_to_atlas_mapping.h5ad	Precomputed PF spatial mapping	03	PF_precomputed_mappings_v1.0.0.zip or generated by mapper
PF/spatial_annotation/example_rerun_results/ct_anno_release_v1/VUILD106MA_Disease/query_to_atlas_mapping.h5ad	Precomputed PF spatial mapping	03	PF_precomputed_mappings_v1.0.0.zip or generated by mapper
PF/sp_map_to_sc_Epi/figure4_rerun_results/knn30/query_to_atlas_mapping.h5ad	Precomputed 30-neighbor epithelial mapping	04	PF_precomputed_mappings_v1.0.0.zip or generated by mapper
PF/sp_map_to_sc_Epi/figure4_rerun_results/knn300/query_to_atlas_mapping.h5ad	Precomputed 300-neighbor epithelial mapping	04	PF_precomputed_mappings_v1.0.0.zip or generated by mapper
outputs/04_epithelial_trajectory_and_spatial_pseudotime/spatial_pseudotime.csv.gz	Compact pseudotime handoff from notebook 04	05	generated by notebook 04
